principalInvestigator,country,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,locality,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,fatal,monthCollected,dayCollected,minimumElevationInMeters,maximumElevationInMeters,quantityDetected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,horizontalDatum,georeferenceProtocol,minimumDepthInMeters,maximumDepthInMeters,habitat,eventRemarks,taxTeam,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,lifeStage,establishmentMeans,sex,basisOfRecord,diseaseLineage,genotypeMethod,specimenDisposition,testMethod,diagnosticLab,zeScore,Diagnostics_bcid,Sample_bcid,expeditionCode,projectId,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2789,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH236c4fbf2ecc40bc18f79f770cde7ab16,https://n2t.net/ark:/21547/CwG2MNHN1995.2789,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2790,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2b9ff7763edcb5acabbd7a301fd730b94,https://n2t.net/ark:/21547/CwG2MNHN1995.2790,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2791,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2bc7e8eafd61e8f0b13a5f2a844dc5bf4,https://n2t.net/ark:/21547/CwG2MNHN1995.2791,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2792,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH201f40144bde9a785070d41fa8c3b8325,https://n2t.net/ark:/21547/CwG2MNHN1995.2792,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2793,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2d48487982d74caa2ed275177f0e21b54,https://n2t.net/ark:/21547/CwG2MNHN1995.2793,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2794,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH27fff3861c0183bde45159d4623b02a85,https://n2t.net/ark:/21547/CwG2MNHN1995.2794,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2795,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH27b0ec9a8f25efd5f9fb5d1507877e795,https://n2t.net/ark:/21547/CwG2MNHN1995.2795,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2796,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2d17b398c52fe4a5a7a899802909abf50,https://n2t.net/ark:/21547/CwG2MNHN1995.2796,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2797,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2fec229bf93720438d51e489414a1b5d3,https://n2t.net/ark:/21547/CwG2MNHN1995.2797,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2799,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH20d42df48bbfe8d82d9c1d7bb7413faee,https://n2t.net/ark:/21547/CwG2MNHN1995.2799,pyrenees,174,
